MRP管理者	転記日付	WBS番号	ネットワーク・指図番号	受領者	品目コード	品目テキスト	計画数	完成数	単位（完成数）	プラント	保管場所	ﾈｯﾄﾜｰｸ完了	指図完了	入出庫伝票	明細	移動タイプ	移動区分	D/C	単価	金額	最低販売単価or製品単価	製品金額合計
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928606	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928607	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928608	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928609	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928610	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928611	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928612	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928613	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928614	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928615	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928616	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928617	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928618	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928619	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928620	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928621	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928622	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928623	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928624	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928625	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928626	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928627	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928628	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928629	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928630	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928631	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928632	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
B10	20241023		000010131408		A00A1914900	UG-DP	100	1.000	PC	P100	1911			5002928633	0001	101	F	S	6473.00000	6473.00000	7000.00000	7000.00000
